name,num_classes,classes_used,ratio,learning_rate,mean_0,variance_0,mean_10,variance_10,mean_20,variance_20,mean_30,variance_30,mean_40,variance_40,mean_50,variance_50
undersampled,2,"(6, 8)","(10, 1)",1e-09,0.5098386332751754,0.0404566088124947,0.5101162586325894,0.04057979772591888,0.5105984190197751,0.04069102184651243,0.5111042105172909,0.040819420029364686,0.5116045363158188,0.040802400326448295,0.5117249424494048,0.040832020812949135
weighted,2,"(6, 8)","(10, 1)",1e-05,0.47588088848688004,0.014077155688735937,0.9949642693324989,6.347145591845378e-07,0.9955723551375426,1.0526319386693353e-06,0.996013415611751,4.992785504776966e-07,0.9960835587487622,5.000395099592296e-07,0.9962409923137271,3.9616420924878384e-07
weighted,2,"(6, 8)","(10, 1)",1e-06,0.6050879227343071,0.010558275961263072,0.98164918357461,1.3851633558980225e-05,0.9886613538643564,5.372143597328179e-06,0.9908071765699417,2.780886075169695e-06,0.9919778542737481,2.3653806083242804e-06,0.9928134096101993,2.082274993208327e-06
weighted,2,"(6, 8)","(10, 1)",1e-07,0.42893514251542175,0.013877376803536595,0.7940945265847312,0.0017669956006771948,0.8993507071114102,0.00033224176532049333,0.9355214169663869,0.00014023710759216852,0.9526522036412273,8.29519274535407e-05,0.961962539599525,6.004072711155527e-05
weighted,2,"(6, 8)","(10, 1)",1e-08,0.6188543037556855,0.015954022332554788,0.6537514521612017,0.022986218337317003,0.6875593724948879,0.023127643954268473,0.7178657624328576,0.01980241471766208,0.7457190180603842,0.015929018220027392,0.7705601912780304,0.012337500903104873
weighted,2,"(6, 8)","(10, 1)",1e-09,0.5007401735305844,0.026234056626089845,0.5061231904249528,0.026338403277300852,0.5116547457271095,0.02643643554858363,0.5168426586017243,0.02642425407169145,0.5219124159246891,0.026403815033726602,0.5275074162033326,0.02640780356323118
smote,2,"(6, 8)","(10, 1)",1e-05,0.4727098721240777,0.01016500109835377,0.9951258825496305,1.8264838825068946e-06,0.9959114428159281,1.1221601272717147e-06,0.9961985527686444,7.566621587285687e-07,0.9963612912767443,9.175401283474343e-07,0.9964925216377377,1.0497175656455947e-06
smote,2,"(6, 8)","(10, 1)",1e-06,0.46187991109129645,0.021231776801521524,0.9824738610983698,1.3996551266683436e-05,0.9897801074277778,5.948660662199353e-06,0.992582135523614,4.24924417228567e-06,0.9936134379032294,3.834562864054705e-06,0.9941689565444779,3.4217859573171946e-06
smote,2,"(6, 8)","(10, 1)",1e-07,0.44520384913813427,0.011961683845252178,0.8191610795077013,0.0013871645945454374,0.9142033154287036,0.000189497752352929,0.9443112254740154,8.439143022209563e-05,0.9579703287564355,5.6657713882532186e-05,0.9664100110171345,3.577649774640034e-05
smote,2,"(6, 8)","(10, 1)",1e-08,0.5186198145520484,0.013343143358166564,0.5446133928915905,0.015119620964075802,0.5756171417180729,0.015497383534848178,0.6115764040416164,0.014099465403881966,0.6518219532479113,0.010521445164746094,0.6892645634085384,0.007187702199469263
smote,2,"(6, 8)","(10, 1)",1e-09,0.44725991649269303,0.028483927573237783,0.4526935714806258,0.028805984861572608,0.4582696561539484,0.029161614458150926,0.4638414004192512,0.029466506663121096,0.4696848220754223,0.02973709488655728,0.47554239024662087,0.029919815837643214
focal_loss,2,"(6, 8)","(10, 1)",1e-05,0.5649285922502819,0.017162042037535585,0.9774284314944293,5.033888119208833e-05,0.986693648643435,1.5355966764658434e-05,0.9897053023710416,7.803791066318697e-06,0.991156123940619,5.804102006544141e-06,0.9920527129157681,4.43990828946131e-06
focal_loss,2,"(6, 8)","(10, 1)",1e-06,0.4500781809296404,0.035365083729511144,0.6868349530378569,0.020268363387795887,0.8218063170619831,0.0076219924038643805,0.8925333193297125,0.002266367187339164,0.9286222580410076,0.0006708620292106462,0.9481147089461703,0.00021987867668547627
focal_loss,2,"(6, 8)","(10, 1)",1e-07,0.4247303588499312,0.031117508383933762,0.4868756242685609,0.035717506312837724,0.5158536350113387,0.035231378520553656,0.5391932949805593,0.03495804426134412,0.5602047815220794,0.034703439108261555,0.5799008029218984,0.03439929575641194
focal_loss,2,"(6, 8)","(10, 1)",1e-08,0.513571866439751,0.011950350101850285,0.5251236212506377,0.012405303019939338,0.5370539560943615,0.01296581251848466,0.5499711711171031,0.013291692994098062,0.5596538176299871,0.013341277016735898,0.5674971492628809,0.013176566173757348
focal_loss,2,"(6, 8)","(10, 1)",1e-09,0.5398492860296734,0.025203125146444256,0.5414267296258032,0.025321106382366447,0.5428392377171811,0.0254992029809947,0.5437813741838962,0.02562907335235422,0.5448325567039478,0.025751831654659257,0.5460874704745086,0.025935233912789714
