,name,num_classes,classes_used,ratio,learning_rate,mean_0,variance_0,mean_10,variance_10,mean_20,variance_20,mean_30,variance_30,mean_40,variance_40,mean_50,variance_50
19,weighted,2,"(0, 1)","(100, 1)",1e-08,0.51945315,0.005931998213052497,0.5846697000000001,0.0029050664923600013,0.5950562000000001,0.002800949662509998,0.5994284500000001,0.002789593017022498,0.60277675,0.0028151369486125,0.6041165,0.002765075937300002
20,normal,3,"(0, 3, 1)","(1, 1)",1e-05,0.47672749999999997,0.001746750285150002,0.683576825,0.006615182693725627,0.6167499999999999,0.008462125000000001,0.6732499999999999,0.007225462500000002,0.7234,0.0018886150000000021,0.634975,0.008879555624999999
21,normal,3,"(0, 3, 1)","(1, 1)",1e-06,0.526487375,0.004104034512603125,0.6661663499999999,0.003061158327252498,0.654569725,0.004704705582193125,0.69850155,0.0025494913444349997,0.709926675,0.001611735292050625,0.6925969000000001,0.004547360874352499
22,normal,3,"(0, 3, 1)","(1, 1)",5e-07,0.495214025,0.0021752348374181243,0.6556103,0.0010517465966600008,0.66205645,0.0007163305574224988,0.67320185,0.0014322404412899998,0.6914908,0.00023838665562249937,0.6706306000000001,0.001695665039052501
23,normal,3,"(0, 3, 1)","(1, 1)",1e-07,0.5126926,0.0021436489176899984,0.6472459500000001,4.965753609749992e-05,0.671013225,7.049736890562527e-05,0.673940275,7.97871731681254e-05,0.6766729750000001,6.242288798062515e-05,0.6804392499999999,9.655241862499981e-05
24,normal,3,"(0, 3, 1)","(1, 1)",1e-08,0.4796227249999999,0.0005466335505056247,0.518499,0.0015665751627250012,0.5492282500000001,0.0008647638966249989,0.574722475,0.00037807052149312477,0.593641325,0.00019853133538812466,0.6080943,0.00012714087132250038
25,ratio,3,"(0, 3, 1)","(200, 20, 1)",1e-05,0.47560959999999997,0.001479136503502499,0.566211425,0.0020913287483381214,0.5766349,0.005283917300040001,0.569083675,0.003921702069113126,0.572723475,0.0039052935190181256,0.5307360749999999,0.0013497099286131253
26,ratio,3,"(0, 3, 1)","(200, 20, 1)",1e-06,0.51973465,0.0024243274401774995,0.594643275,0.00016290191685562556,0.5997667250000001,0.000614922218993125,0.60269585,0.0008546437502650013,0.5976332999999999,0.00042313479977249886,0.604128825,0.0006383459295506263
27,ratio,3,"(0, 3, 1)","(200, 20, 1)",5e-07,0.492602675,0.0018321282840256254,0.592166175,0.0001561339368006249,0.59510615,0.0001532466466275,0.6001936999999999,0.0003224015908100001,0.6068003500000001,0.00021130842799000124,0.60750655,0.0002328472519350012
28,ratio,3,"(0, 3, 1)","(200, 20, 1)",1e-07,0.49676167499999996,0.0017667388300631245,0.5644406500000001,0.0002690048265274997,0.57605775,0.00019598159583750045,0.5843177,0.00014060661420999955,0.589933775,0.00014395023616812504,0.5905753249999999,0.00014085119257562471
29,ratio,3,"(0, 3, 1)","(200, 20, 1)",1e-08,0.47212640000000006,0.0012119702208024993,0.54530915,0.001048687129465001,0.549916075,0.0008232891284631248,0.5531139,0.0008577775663649999,0.5544734250000001,0.0008126673232506235,0.55614185,0.0007502666896024989
30,oversampled,3,"(0, 3, 1)","(200, 20, 1)",1e-05,0.4807633749999999,0.0016974161303281218,0.6298688,0.007175981694272503,0.67205085,0.0051603846474650005,0.627222375,0.006423991919628121,0.656083275,0.0040752079821056225,0.6933102,0.0034385484752600046
31,oversampled,3,"(0, 3, 1)","(200, 20, 1)",1e-06,0.47122139999999996,0.001217059523252502,0.673021725,0.0007430007666806249,0.6789965250000001,0.00032487433039312584,0.6826428250000001,0.00034966744621312543,0.6823177999999999,0.00020690223484749973,0.6759223500000001,0.0003416419568274998
32,oversampled,3,"(0, 3, 1)","(200, 20, 1)",5e-07,0.5175265499999999,0.0019419539990349986,0.6752295250000001,0.00019528637230562448,0.682128225,7.795013260562522e-05,0.683951675,0.00010399115308812548,0.68755885,0.00010269597190250062,0.690387225,7.915160091812455e-05
33,oversampled,3,"(0, 3, 1)","(200, 20, 1)",1e-07,0.509727525,0.0005311652381681244,0.60755905,0.0019488182787100003,0.649653925,0.0006913132615256254,0.665805325,0.0004822699656006245,0.674379075,0.00026685104776312453,0.67795395,0.0001487560877475003
34,oversampled,3,"(0, 3, 1)","(200, 20, 1)",1e-08,0.51898535,0.0006102382971025016,0.5497036,0.0027208114891649985,0.558379725,0.0027337023737806243,0.5647120499999999,0.002656992899034997,0.5746633750000001,0.002401040248978126,0.58416,0.002356211807800002
35,weighted,3,"(0, 3, 1)","(200, 20, 1)",1e-05,0.49961512500000005,0.0027251519173531248,0.6417479750000001,0.006721060298918125,0.652675025,0.006337836082605626,0.6204623999999999,0.0102774815565275,0.679978925,0.0025072253677131287,0.641854975,0.003490956364255622
36,weighted,3,"(0, 3, 1)","(200, 20, 1)",1e-06,0.5267584,0.000709081907840002,0.6638524250000002,0.001031150364463127,0.64234475,0.0039633219545125,0.637268225,0.0059141431152556255,0.6752284500000001,0.0003849431103350008,0.680171775,0.0006419950443931259
37,weighted,3,"(0, 3, 1)","(200, 20, 1)",5e-07,0.4912889,0.00048267580077749966,0.6606306749999998,0.002751526943250625,0.6779009,0.0003456612505525001,0.680673375,0.0003755150287656258,0.6891075000000001,0.0002041016665250007,0.662571075,0.0018162134549756243
38,weighted,3,"(0, 3, 1)","(200, 20, 1)",1e-07,0.500864275,0.001334191587268124,0.6321361750000001,0.0005142700728256249,0.6610711,0.00024552549001499995,0.672414125,0.00033558010212812555,0.6769276,0.00028174332201500146,0.680388075,0.00026286768237562407
39,weighted,3,"(0, 3, 1)","(200, 20, 1)",1e-08,0.47571335000000003,0.002177944075115,0.53277525,0.0034574170740125027,0.55019575,0.0030613718504500006,0.5647196250000001,0.002405437685478124,0.5773267,0.0019152610592100023,0.5883345,0.0014605474282125012
