name,num_classes,classes_used,ratio,learning_rate,mean_0,variance_0,mean_10,variance_10,mean_20,variance_20,mean_30,variance_30,mean_40,variance_40,mean_50,variance_50
both_sampled,3,"(0, 3, 1)","(200, 20, 1)",5e-07,0.4976581,0.0026137487692774,0.659601725,0.0003404601133306,0.6939075250000001,0.0001735101399681,0.7006746749999999,0.0001311850969631,0.7006482,0.0001405467591475,0.7002368500000001,0.0002401387145399
both_sampled,3,"(0, 3, 1)","(200, 20, 1)",1e-07,0.49950615,0.0050343179428525,0.586277325,0.0024440584145506,0.6198941000000001,0.0010462015179025,0.643090125,0.0003692788579281,0.65521425,0.000272454958425,0.66164185,0.0003406377197649
both_sampled,3,"(0, 3, 1)","(200, 20, 1)",1e-08,0.5074531,0.0012990297721899,0.5167682499999999,0.0032985370447,0.5159062999999999,0.0020501852920975,0.5233277749999999,0.0018764281775806,0.5312619999999999,0.0015849193767499,0.5410912999999999,0.001548777659485
weighted,2,"(0, 1)","(100, 1)",1e-05,0.5483786499999999,0.0094237419281024,0.70522365,0.0063224657165025,0.71922675,0.0030526236425624,0.69263775,0.0029613165157625,0.6832442500000001,0.0028618301795624,0.6946940999999999,0.00192325977724
weighted,2,"(0, 1)","(100, 1)",1e-06,0.53490505,0.0086060348989724,0.7992625999999999,0.00455890035009,0.81073815,0.0007980423368525,0.82375685,0.0001923600259025,0.82426965,3.0003135652499884e-05,0.8210013499999999,9.47462209525003e-05
weighted,2,"(0, 1)","(100, 1)",5e-07,0.5275359,0.00833120921169,0.7602064499999999,0.0022155255138724,0.77984455,0.0004423689458224,0.79630405,0.0002747789942725,0.7911139,0.00042796301334,0.8000131999999999,0.00026374249561
weighted,2,"(0, 1)","(100, 1)",1e-07,0.5117162999999999,0.0057660317906599,0.68753515,0.0009485820830025,0.7240082999999999,0.00025003345091,0.7275325500000001,0.0003497428360225,0.7416299499999999,0.0001707747206725,0.7486287500000002,0.0001959164905124
weighted,2,"(0, 1)","(100, 1)",1e-08,0.5146188,0.00386855436301,0.5381443,0.00974250884091,0.5593583500000001,0.0087150585139525,0.57791115,0.0075547961047024,0.59534205,0.0064658864671724,0.60829775,0.0057042125493125
weighted,3,"(0, 3, 1)","(200, 20, 1)",1e-05,0.471750575,0.0019130461136881,0.6515226,0.0061406200137524,0.631073325,0.0050762284988756,0.685806075,0.0020678455742881,0.636714725,0.0053135268712681,0.6388839,0.0049179308641275
weighted,3,"(0, 3, 1)","(200, 20, 1)",1e-06,0.4776569,0.0020187052087525,0.6556387750000001,0.0019567797886431,0.6766327999999999,0.0016463120795975,0.692444925,0.0007744311527506,0.6324032749999999,0.0040498114399431,0.689182425,0.0007149007197256
weighted,3,"(0, 3, 1)","(200, 20, 1)",5e-07,0.4838734,0.0020992051717025,0.66858815,0.0001394656601775,0.6755476499999999,0.0002740163941899,0.67492295,0.0007222095316224,0.6867630250000001,6.964755273062512e-05,0.682985325,0.0003211181918131
weighted,3,"(0, 3, 1)","(200, 20, 1)",1e-07,0.4863773,0.0029960184078599,0.623684425,0.0011988623974256,0.6490017,0.0003805242283349,0.6639923249999999,0.0001366584741756,0.6696017999999999,0.0002404605794349,0.674973675,0.0001276457364631
weighted,3,"(0, 3, 1)","(200, 20, 1)",1e-08,0.4900793,0.0031954298089475,0.538885775,0.0062942852483556,0.5493780500000002,0.0055602262211724,0.5593404000000001,0.00475919477654,0.5700450750000001,0.0040290423186131,0.5795922499999999,0.0033594358406249
